,Transformation parameter epsilon,RMS colon PLM,Parameter A,Parameter gamma,Inverse parameter A,Inverse parameter gamma
127,0.3722714316434175,0.5892545489195392,3.9894963038024097e-07,4.309064841155785,1.984211543152846e-06,4.309064841155785
128,0.37504957665568184,0.5892528265331803,3.967932981167167e-07,4.30763758590103,1.996185000943032e-06,4.30763758590103
129,0.37782772166794615,0.5907506361356547,4.065266308628733e-07,4.299711618504153,2.063584264486644e-06,4.299711618504153
130,0.38060586668021046,0.5899811268158827,3.9761002178400665e-07,4.3019608670449045,2.0443255800647227e-06,4.3019608670449045
131,0.38338401169247477,0.5860656051119388,3.6551514256230813e-07,4.317787951193719,1.913479467396012e-06,4.317787951193719
132,0.3861621567047391,0.5827561192571116,3.310225900678338e-07,4.3368515432741495,1.7667810715320045e-06,4.3368515432741495
133,0.3889403017170034,0.5952196704143315,1.164867835429727e-07,4.562878924332035,6.870900261824065e-07,4.562878924332035
134,0.3917184467292677,0.5950271354882911,1.1519981211650202e-07,4.562540152155563,6.880759737986248e-07,4.562540152155563
135,0.394496591741532,0.5762044398002253,2.457818492896328e-07,4.394036829975216,1.3911373158413462e-06,4.394036829975216
136,0.3972747367537963,0.5946413351173299,1.1266992791538319e-07,4.561860843021819,6.900572863974556e-07,4.561860843021819
137,0.40005288176606063,0.5865874570561895,2.666406916005088e-07,4.3706424632751135,1.5320931332014385e-06,4.3706424632751135
138,0.40283102677832494,0.5829222027236598,3.2366384385376156e-07,4.3260432839652365,1.848943948058041e-06,4.3260432839652365
139,0.40560917179058925,0.5864543510518374,3.511969234352978e-07,4.305652793986426,2.013760936440162e-06,4.305652793986426
140,0.40838731680285356,0.5835548692856757,3.2986640249052514e-07,4.316710553637448,1.9228765980850585e-06,4.316710553637448
141,0.41116546181511787,0.5750690507402767,2.483053759654039e-07,4.375936938123535,1.5010099723359414e-06,4.375936938123535
142,0.4139436068273822,0.5819322598816116,3.156530330221092e-07,4.3210977403150235,1.8881152677227042e-06,4.3210977403150235
143,0.4167217518396465,0.5781805468883263,2.8054241836546505e-07,4.344120989774911,1.7147364026553494e-06,4.344120989774911
144,0.4194998968519108,0.5762940027666351,2.6311828185956327e-07,4.355444570401903,1.6355136941559017e-06,4.355444570401903
