,Transformation parameter epsilon,RMS CML IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
81,0.029589851372951087,0.15493432560198128,0.006439796366064426,-33.40934305724456,0.9996812727537334,0.06643336355532638,0.006439796366064426,-33.40934305724456,0.9998948793105933,0.06643336355532638
82,0.029955158180024557,0.1546333410146842,0.0066669739784301785,-32.86152794466379,0.9996675720561663,0.06645174241110437,0.0066669739784301785,-32.86152794466379,0.9998917570894011,0.06645174241110437
83,0.030320464987098027,0.15371728530904766,0.004470264364658369,-38.80277320884637,0.9997753667049665,0.06649747382790332,0.004470264364658369,-38.80277320884637,0.9999281011041953,0.06649747382790332
84,0.030685771794171497,0.15380715045548285,0.006739682187982748,-32.649698419235456,0.9996590180962153,0.06648808283499504,0.006739682187982748,-32.649698419235456,0.9998917776495444,0.06648808283499504
85,0.031051078601244966,0.15356377092553325,0.007204921917415839,-31.627922735549294,0.9996328753029797,0.06650161756025398,0.007204921917415839,-31.627922735549294,0.999884906227147,0.06650161756025398
86,0.03141638540831844,0.15276112770679018,0.005028670627944535,-36.96018606264843,0.9997418141822597,0.06654779189227313,0.005028670627944535,-36.96018606264843,0.9999205003794951,0.06654779189227313
87,0.031781692215391906,0.1523771785344953,0.004910193519066824,-37.28834342175146,0.9997460984223161,0.06656813807034719,0.004910193519066824,-37.28834342175146,0.9999228775115965,0.06656813807034719
88,0.03214699902246538,0.15196380054646957,0.004828230792154319,-37.512011902999554,0.9997485742893609,0.06658853782576005,0.004828230792154319,-37.512011902999554,0.999924661878678,0.06658853782576005
89,0.032512305829538846,0.1520815482169633,0.006740353546998585,-32.51643261817792,0.99964669433283,0.06658165246861243,0.006740353546998585,-32.51643261817792,0.999895096703459,0.06658165246861243
90,0.03287761263661232,0.15164502988432244,0.006011951971895123,-34.188575114008145,0.9996826287345825,0.06661112441379644,0.006011951971895123,-34.188575114008145,0.9999072294270838,0.06661112441379644
91,0.033242919443685785,0.15142910713000715,0.006616480856083785,-32.73857205293647,0.999648364751958,0.06662120031428208,0.006616480856083785,-32.73857205293647,0.9998984449549922,0.06662120031428208
92,0.03360822625075926,0.15110444747713683,0.006505338338170574,-32.96470516024684,0.999651911771877,0.06664070590866919,0.006505338338170574,-32.96470516024684,0.9999008725171709,0.06664070590866919
93,0.03397353305783273,0.15097441126562258,0.00621453226702836,-33.70491567633041,0.999665755873011,0.06660046804357707,0.00621453226702836,-33.70491567633041,0.9999054899335286,0.06660046804357707
94,0.0343388398649062,0.15030716799637947,0.005624597498584891,-35.077672081878426,0.9996949313217007,0.06668735842343722,0.005624597498584891,-35.077672081878426,0.9999156866963493,0.06668735842343722
95,0.03470414667197967,0.14937414930910264,0.003008970365552903,-44.41089172200743,0.9998357376230018,0.06671419104903227,0.003008970365552903,-44.41089172200743,0.9999553719906425,0.06671419104903227
96,0.03506945347905314,0.1497652430656431,0.005849848864611006,-34.44272532190051,0.9996785181770488,0.06672005453751302,0.005849848864611006,-34.44272532190051,0.9999135722402533,0.06672005453751302
97,0.03543476028612661,0.14920562404157164,0.004413938982440856,-38.60357262751217,0.9997557717459304,0.06675707588060868,0.004413938982440856,-38.60357262751217,0.9999355442054702,0.06675707588060868
98,0.03580006709320008,0.14946659688902572,0.006806358789844316,-32.120166054530934,0.999620969262706,0.06675833725337385,0.006806358789844316,-32.120166054530934,0.9999009553970007,0.06675833725337385
99,0.03616537390027355,0.14861885562173774,0.004295309498268806,-38.9405826854589,0.9997591788505815,0.06680412384366924,0.004295309498268806,-38.9405826854589,0.9999383740020327,0.06680412384366924
100,0.03653068070734702,0.14891141224493737,0.006707525305092186,-32.30394764721254,0.9996217946907161,0.0667831062096254,0.006707525305092186,-32.30394764721254,0.9999038899056683,0.0667831062096254
101,0.03689598751442049,0.14814093557648278,0.004592680884493793,-37.90755595797518,0.9997393139311614,0.06682549708995501,0.004592680884493793,-37.90755595797518,0.9999350948427499,0.06682549708995501
102,0.037261294321493964,0.14774616757057998,0.003833055466144235,-40.57431158873115,0.9997810567491427,0.06684879090650862,0.003833055466144235,-40.57431158873115,0.9999464034765435,0.06684879090650862
103,0.03762660112856743,0.14753236767769862,0.004119931156650518,-39.47600934131056,0.9997632199346288,0.06686179614285108,0.004119931156650518,-39.47600934131056,0.999942850465086,0.06686179614285108
104,0.0379919079356409,0.1477107265648293,0.005990557273723199,-33.88345562512416,0.9996536499693939,0.06686028085703126,0.005990557273723199,-33.88345562512416,0.9999172731955576,0.06686028085703126
105,0.03835721474271437,0.1472516495399475,0.0051770289037673485,-36.022078823407334,0.9996987924135986,0.0668893963752746,0.0051770289037673485,-36.022078823407334,0.9999293470768931,0.0668893963752746
106,0.03872252154978784,0.14686179750977704,0.004307949384173467,-38.72535693378257,0.9997478011573648,0.06691601042299537,0.004307949384173467,-38.72535693378257,0.9999419282870259,0.06691601042299537
107,0.03908782835686131,0.14695630015031666,0.005881934512474335,-34.07852721474676,0.9996536573065627,0.06691393930696762,0.005881934512474335,-34.07852721474676,0.9999210958851901,0.06691393930696762
108,0.03945313516393478,0.14665550608585462,0.005695591688441391,-34.53122253583721,0.9996626040054737,0.06693344718870892,0.005695591688441391,-34.53122253583721,0.9999243876965499,0.06693344718870892
109,0.03981844197100825,0.14606977941444718,0.0036282805490554897,-41.224223469400435,0.999783795930087,0.06695654532119341,0.0036282805490554897,-41.224223469400435,0.9999524993760123,0.06695654532119341
110,0.04018374877808172,0.14582471360714916,0.0034753624829182124,-41.84749982658051,0.9997917192060447,0.0669683142755098,0.0034753624829182124,-41.84749982658051,0.9999549598933416,0.0669683142755098
111,0.040549055585155196,0.14556494532744885,0.003873112004274674,-40.180078989996915,0.9997664185378283,0.06700311654127764,0.003873112004274674,-40.180078989996915,0.9999504416038939,0.06700311654127764
112,0.04091436239222866,0.145205736695675,0.003049367508565491,-43.706254243471705,0.999815011334379,0.06702762331916724,0.003049367508565491,-43.706254243471705,0.9999615163459851,0.06702762331916724
113,0.041279669199302135,0.14537137535722616,0.004057341640811779,-39.47576821559044,0.9997526078752185,0.06700596226895206,0.004057341640811779,-39.47576821559044,0.9999489855812672,0.06700596226895206
114,0.0416449760063756,0.144840935486156,0.0030476507456358745,-43.687051815028376,0.9998130435775989,0.06704325885978453,0.0030476507456358745,-43.687051815028376,0.9999622896564024,0.06704325885978453
115,0.042010282813449075,0.14543855833332872,0.006597077406913848,-32.179297265888955,0.9995929968676017,0.06704095460041379,0.006597077406913848,-32.179297265888955,0.9999186677491055,0.06704095460041379
116,0.04237558962052254,0.14444834884188365,0.0028463701238886875,-44.63912904775917,0.9998233755025122,0.06708305530311896,0.0028463701238886875,-44.63912904775917,0.9999656808097374,0.06708305530311896
117,0.042740896427596015,0.14439658908179562,0.0036205586877749926,-41.0603398416909,0.9997741421312754,0.0670795210925052,0.0036205586877749926,-41.0603398416909,0.999956637918444,0.0670795210925052
118,0.04310620323466948,0.1448363184339461,0.006381623928623703,-32.597368042242685,0.9995995858035658,0.06709299883107854,0.006381623928623703,-32.597368042242685,0.9999242175449868,0.06709299883107854
119,0.043471510041742954,0.1444989946381402,0.005485252776452814,-34.8135153866682,0.9996538941801958,0.06711746062928949,0.005485252776452814,-34.8135153866682,0.9999359077703391,0.06711746062928949
120,0.04383681684881643,0.14443155497560936,0.0060505920843550946,-33.33464779172927,0.9996161174903739,0.06713046918295076,0.0060505920843550946,-33.33464779172927,0.9999301013281136,0.06713046918295076
121,0.044202123655889894,0.14370429378401794,0.003457619348065927,-41.629358411196314,0.9997794613532188,0.06715174411423012,0.003457619348065927,-41.629358411196314,0.9999607777777578,0.06715174411423012
122,0.04456743046296337,0.14361048644008648,0.0033527369965444553,-42.058911843960225,0.9997849886310095,0.06716777633474437,0.0033527369965444553,-42.058911843960225,0.9999625281743801,0.06716777633474437
123,0.044932737270036834,0.14352564936644288,0.0039907097085984744,-39.42321089015926,0.9997426112789364,0.0671980714075142,0.0039907097085984744,-39.42321089015926,0.9999561135460758,0.0671980714075142
124,0.04529804407711031,0.14341842047438383,0.004367001065860455,-38.06810991806335,0.9997168500533026,0.06720849163128945,0.004367001065860455,-38.06810991806335,0.9999525508548651,0.06720849163128945
125,0.04566335088418377,0.1434289953808236,0.00495690796242294,-36.16792333188112,0.9996769049535977,0.06721848207268055,0.00495690796242294,-36.16792333188112,0.9999468157067879,0.06721848207268055
126,0.046028657691257246,0.14306596905172547,0.0035291490108549707,-41.15085570956993,0.9997686612356047,0.06726062883726101,0.0035291490108549707,-41.15085570956993,0.9999630785238157,0.06726062883726101
127,0.04639396449833071,0.1430456702024489,0.00385997978599418,-39.81743887031759,0.9997457267370201,0.06725990844279012,0.00385997978599418,-39.81743887031759,0.999960078073386,0.06725990844279012
128,0.046759271305404186,0.14285198162618012,0.0038234549428544018,-39.93578470352065,0.9997468100228128,0.06727606522792157,0.0038234549428544018,-39.93578470352065,0.999961049539617,0.06727606522792157
129,0.04712457811247766,0.14287295249916587,0.00412357636132611,-38.79017002807395,0.9997255233164134,0.0672892219412422,0.00412357636132611,-38.79017002807395,0.9999586622150446,0.0672892219412422
130,0.047489884919551126,0.14245129415653604,0.002332286492026703,-47.21094160198723,0.9998439548756086,0.0673139303370679,0.002332286492026703,-47.21094160198723,0.9999771652857216,0.0673139303370679
131,0.0478551917266246,0.14266630325544663,0.003928506894257916,-39.47399572801976,0.9997358460590214,0.0673103328228933,0.003928506894257916,-39.47399572801976,0.9999618348906284,0.0673103328228933
132,0.048220498533698065,0.14249437890795938,0.00325539979773684,-42.211312283930305,0.9997799554941849,0.06734310842558541,0.00325539979773684,-42.211312283930305,0.9999691818227663,0.06734310842558541
133,0.04858580534077154,0.14228249383374367,0.0025388999286317803,-45.86644509084348,0.9998275141879333,0.06736341811590071,0.0025388999286317803,-45.86644509084348,0.9999764794311259,0.06736341811590071
